0,0,0,0,0
0.253816,-19.1477,0,12.7652,0
0.507632,-34.0404,0,22.6936,0
0.761448,-44.6781,0,29.7854,0
1.01526,-51.0606,0,34.0404,0
1.26908,-53.1882,0,35.4588,0
1.5229,-51.0606,0,34.0404,0
1.77671,-44.6781,0,29.7854,0
2.03053,-34.0404,0,22.6936,0
2.28434,-19.1477,0,12.7652,0
2.53816,-5.68434e-14,0,2.84217e-14,0
2.79197,0,0,0,0
2.96066,0,28.8112,0,-1.89704e-12
3.12934,0,51.22,0,-3.37251e-12
3.29803,0,67.2262,0,-4.42642e-12
3.46671,0,76.83,0,-5.05876e-12
3.6354,0,80.0312,0,-5.26955e-12
3.80408,0,76.83,0,-5.05876e-12
3.97276,0,67.2262,0,-4.42642e-12
4.14145,0,51.22,0,-3.37251e-12
4.31013,0,28.8112,0,-1.89704e-12
4.47882,0,5.68434e-14,0,-9.69352e-27
4.6475,0,0,0,0
4.85632,-23.2741,-23.2741,-2.58601,-34.9111
5.06513,-41.3762,-41.3762,-4.59735,-62.0643
5.27395,-54.3062,-54.3062,-6.03403,-81.4593
5.48276,-62.0643,-62.0643,-6.89603,-93.0964
5.69158,-64.6503,-64.6503,-7.18336,-96.9754
5.9004,-62.0643,-62.0643,-6.89603,-93.0964
6.10921,-54.3062,-54.3062,-6.03403,-81.4593
6.31803,-41.3762,-41.3762,-4.59735,-62.0643
6.52684,-23.2741,-23.2741,-2.58601,-34.9111
6.73566,-5.68434e-14,-5.68434e-14,-3.55271e-15,0
6.94447,0,0,0,0
7.11316,28.8112,-28.8112,0,14.4056
7.28184,51.22,-51.22,0,25.61
7.45053,67.2262,-67.2262,0,33.6131
7.61921,76.83,-76.83,0,38.415
7.7879,80.0312,-80.0312,0,40.0156
7.95658,76.83,-76.83,0,38.415
8.12526,67.2262,-67.2262,0,33.6131
8.29395,51.22,-51.22,0,25.61
8.46263,28.8112,-28.8112,0,14.4056
8.63132,5.68434e-14,-5.68434e-14,0,2.84217e-14
