0,90,0,-175,0,-3.48497e-11,337
0.253816,87.48,0,-173.32,0,14.8173,336.674
0.507632,80.64,0,-168.76,0,54.8087,332.513
0.761448,70.56,0,-162.04,0,112.16,317.788
1.01526,58.32,0,-153.88,0,176.984,286.785
1.26908,45,0,-145,0,238.295,238.295
1.5229,31.68,0,-136.12,0,286.785,176.984
1.77671,19.44,0,-127.96,0,317.788,112.16
2.03053,9.36,0,-121.24,0,332.513,54.8087
2.28434,2.52,0,-116.68,0,336.674,14.8173
2.53816,2.84217e-14,0,-115,0,337,1.6717e-13
2.79197,0,0,-115,0,337,0
2.96066,0,2.52,-115,-1.65926e-13,336.863,6.24347
3.12934,0,9.36,-115,-6.16296e-13,335.109,23.0945
3.29803,0,19.44,-115,-1.28e-12,328.905,47.2604
3.46671,0,31.68,-115,-2.08593e-12,315.841,74.5748
3.6354,0,45,-115,-2.96296e-12,295.409,100.409
3.80408,0,58.32,-115,-3.84e-12,269.575,120.841
3.97276,0,70.56,-115,-4.64593e-12,242.26,133.905
4.14145,0,80.64,-115,-5.30963e-12,218.094,140.109
4.31013,0,87.48,-115,-5.76e-12,201.243,141.863
4.47882,0,90,-115,-5.92593e-12,195,142
4.6475,0,90,-115,-5.92593e-12,195,142
4.85632,-2.52,87.48,-115.28,-3.78,207.286,132.877
5.06513,-9.36,80.64,-116.04,-14.04,237.978,102.774
5.27395,-19.44,70.56,-117.16,-29.16,273.015,45.6418
5.48276,-31.68,58.32,-118.52,-47.52,292.869,-38.7386
5.69158,-45,45,-120,-67.5,279.886,-137.886
5.9004,-58.32,31.68,-121.48,-87.48,229.335,-229.614
6.10921,-70.56,19.44,-122.84,-105.84,154.032,-294.425
6.31803,-80.64,9.36,-123.96,-120.96,77.2882,-326.892
6.52684,-87.48,2.52,-124.72,-131.22,21.0487,-336.262
6.73566,-90,0,-125,-135,-5.41937e-14,-337
6.94447,-90,0,-125,-135,2.06353e-14,-337
7.11316,-87.48,-2.52,-125,-133.74,8.57378,-336.811
7.28184,-80.64,-9.36,-125,-130.32,31.7142,-334.404
7.45053,-70.56,-19.44,-125,-125.28,64.8998,-325.883
7.61921,-58.32,-31.68,-125,-119.16,102.409,-307.944
7.7879,-45,-45,-125,-112.5,137.886,-279.886
7.95658,-31.68,-58.32,-125,-105.84,165.944,-244.409
8.12526,-19.44,-70.56,-125,-99.72,183.883,-206.9
8.29395,-9.36,-80.64,-125,-94.68,192.404,-173.714
8.46263,-2.52,-87.48,-125,-91.26,194.811,-150.574
8.63132,2.84217e-14,-90,-125,-90,195,-142
